Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,05/06/2013,28252.61,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,04/06/2013,4390.16,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,04/06/2013,4390.16,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,05/06/2013,50392.78,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,05/06/2013,50585.49,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,24432.57,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,-1400.4,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,34567.32,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,-394,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,28033.1,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,-389.25,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,21288.63,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,38997.56,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,6518.61,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,8805.9,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,10567.08,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,46788.21,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,7436.1,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,32922.35,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,-430.6,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/06/2013,29042.35,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCH,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,11/06/2013,5369.91,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOCJ,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,11/06/2013,5369.91,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,05/06/2013,800,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Daycare Expenditure,AMG NURSING & CARE SERVICES,20/06/2013,933.19,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,AMG NURSING & CARE SERVICES,20/06/2013,135.78,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCH,Third Party Payments,Homecare Expenditure,AMG NURSING & CARE SERVICES,20/06/2013,199.89,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCJ,Third Party Payments,Daycare Expenditure,LEONARD CHESHIRE DISABILITY,03/06/2013,302.4,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,20/06/2013,133026.38,,,,,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,20/06/2013,58875.87,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,04/06/2013,178.09,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOBJ,Supplies & Services,Printing - Other,PARAGON,20/06/2013,223,,,,,,,,
Adult Care & Support,Assessment & Case Management,HOCR,Supplies & Services,Com focused ext sch activities,BOURNVILLE VILLAGE TRUST,11/06/2013,500,,,,,,,,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,17/06/2013,409.15,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Premises-Related Expenditure,Clean Mats & Toilet Requisites,CARE SHOP,27/06/2013,211.04,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBB,Supplies & Services,Laundry & Towel Hire,PHS ALL CLEAR,14/06/2013,573.41,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,04/06/2013,175.89,,,,,,,,
