Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,25/04/2013,319.9,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,08/04/2013,372.61,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,08/04/2013,118.83,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,08/04/2013,123.81,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD SHREWSBURY,23/04/2013,300.5,,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Transport-Related Expenditure,Travelling Expenses General,CENTRAL TAXIS LTD SHREWSBURY,24/04/2013,270,,,,,
Family & Cohesion Services,Children Specialist Services,JSAA,Supplies & Services,Mobile Phones,ORANGE PCS LTD,19/04/2013,135,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Supplies & Services,Miscellaneous Insurance,WOLVERHAMPTON CITY COUNCIL,04/04/2013,44870,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,RUGELEY HORIZON PRIORY,11/04/2013,25742.04,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,YOUNG OPTIONS COLLEGE LTD,11/04/2013,27733.33,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,YOUNG OPTIONS COLLEGE LTD,11/04/2013,21163.55,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,11/04/2013,71933.8,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,NEW OPTIONS (3) LTD,04/04/2013,28683.79,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,Witherslack Hall School,22/04/2013,22884,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,YOUNG OPTIONS COLLEGE LTD,11/04/2013,26697.14,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,YOUNG OPTIONS COLLEGE LTD,11/04/2013,26975.24,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,32710,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,32034,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,32710,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,29439,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,29166.67,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,24/04/2013,27827.74,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,22/04/2013,9750,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,WORCESTERSHIRE COUNTY COUNCIL,11/04/2013,46536,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,YOUNG OPTIONS COLLEGE LTD,11/04/2013,27809.52,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,ELLESMERE COLLEGE,09/04/2013,6585,,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CASTLECARE EDUCATION LTD,04/04/2013,61750,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Aids & Appliances,SPACEKRAFT LTD,18/04/2013,208.25,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,29/04/2013,385,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Aids & Appliances,Meg Instrumentation Ltd,11/04/2013,795,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Aids & Appliances,OTICON LIMITED,12/04/2013,-680,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,OTICON LIMITED,15/04/2013,-552,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,OTICON LIMITED,04/04/2013,552,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,OTICON LIMITED,29/04/2013,2720,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,SPECIALIST COMPUTERS CENTRES PLC,02/04/2013,218.4,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,CONNEVANS LIMITED,11/04/2013,116,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Other Services,HODDER & STOUGHTON,08/04/2013,256,,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Mobile Phones,ORANGE PCS LTD,19/04/2013,135,,,,,
Family & Cohesion Services,Cohesion,GCAM,Supplies & Services,Mobile Phones,ORANGE PCS LTD,10/04/2013,135,,,,,
Family & Cohesion Services,Cohesion,GYAG,Transport-Related Expenditure,train tickets,RSP Rail Travel,19/04/2013, 294.40 ,,,,,
Family & Cohesion Services,Cohesion,HCAF,Supplies & Services,Other Services,Citizen Engagement,11/04/2013,10775,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Supplies & Services,Criminal Records Bureau Checks,ABACUS (DAWLEY) LTD,15/04/2013,523.8,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Pre School Playgroups,HONEYBUNS NURSERIES,16/04/2013,9099.21,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Pre School Playgroups,HONEYBUNS NURSERIES,16/04/2013,32232.82,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Pre School Playgroups,LITTLE DRAGONS PRE-SCHOOL ,15/04/2013,1555.2,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Pre School Playgroups,LITTLE DRAGONS PRE-SCHOOL ,15/04/2013,6220.8,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,HADLEY UNDER 5'S ,16/04/2013,1309.5,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,CHIPMUNKS NURSERY,16/04/2013,6285.6,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,HONEYBUNS NURSERIES,16/04/2013,1309.5,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,EARLYWORLD LIMITED ,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,REDACTED PERSONAL INFORMATION,15/04/2013,523.8,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,DAISY CHAIN DAY CARE LTD,15/04/2013,1833.3,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,BROOKSIDE PRE-SCHOOL & PLAYGROUP,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,KIDS 4 US ,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,EARLYWORLD LIMITED ,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,PLAY-DAYS CORPORTION LTD,15/04/2013,523.8,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,TRENCH TOTS NEIGHBOURHOOD NURSERY LTD,15/04/2013,785.7,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,RANDLAY ROUNDABOUTS ,15/04/2013,2095.2,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,LITTLE DRAGONS PRE-SCHOOL ,15/04/2013,785.7,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,ABC DAY NURSERY HOLLINSWOOD,15/04/2013,2619,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,LILLESHALL PRE-SCHOOL PLAYGROUP ,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,ABC DAY NURSERY LTD ,15/04/2013,2619,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,LITTLE CHICKS PRE-SCHOOL,15/04/2013,1039.5,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,SMILEY FACES DAY NURSERIES LTD,15/04/2013,1306.5,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,APPLE TREES NURSERY,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,CHILDCARE SOS,15/04/2013,2357.1,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,CENTRAL PARK NURSERY ,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,STRAWBERRY HILL DAY NURSERY,15/04/2013,3404.7,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,STEPPING STONES AT CAPTAIN WEBB,15/04/2013,1309.5,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,TASHA BURRELL,15/04/2013,296.82,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,OUR WORLD NEIGHBOURHOOD NURSERY ,15/04/2013,785.7,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,REDACTED PERSONAL INFORMATION,15/04/2013,1047.6,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,WOODEN TOPS DAY NURSERY ,15/04/2013,4976.1,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,B) WT'ON METHODIST CHURCH PLAYGR,15/04/2013,523.8,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,ABC Day Nursery,15/04/2013,261.9,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,TOTS AND TODDLERS DAYCARE,15/04/2013,3404.7,,,,,
Family & Cohesion Services,Early Intervention,GEAA,Third Party Payments,Voluntary Bodies,NOAH'S ARK NURS & AFTER SCH CLUB,16/04/2013,523.8,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HIGH ERCALL PRE-SCHOOL ,15/04/2013,649.94,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABACUS (DAWLEY) LTD ,15/04/2013,3119.04,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABACUS (DAWLEY) LTD ,15/04/2013,4678.56,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CHILDCARE SOS,15/04/2013,4336.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CENTRAL PARK NURSERY ,15/04/2013,6203.52,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CENTRAL PARK NURSERY ,15/04/2013,8529.84,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CASTLE HOUSE SCHOOL TRUST ,15/04/2013,4802.69,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CASTLE HOUSE SCHOOL TRUST ,15/04/2013,6665.47,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CHILDCARE SOS,15/04/2013,788.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,BUSY BEES AT TELFORD PARKWAY,15/04/2013,1380.24,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,BUSY BEES AT TELFORD PARKWAY,15/04/2013,6977.88,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,367.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,STEPPING STONES AT CAPTAIN WEBB,15/04/2013,860.11,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,B) COALBROOKDALE & I'BRIDGE NURS,15/04/2013,2862.72,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,B) COALBROOKDALE & I'BRIDGE NURS,15/04/2013,9648.9,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CLUB 0-5 LTD ,15/04/2013,1156.68,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CLUB 0-5 LTD ,15/04/2013,7582.68,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,STEPPING STONES AT CAPTAIN WEBB,15/04/2013,6724.51,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,STRAWBERRY HILL DAY NURSERY,15/04/2013,2789.64,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,STRAWBERRY HILL DAY NURSERY,15/04/2013,7970.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EARLYWORLD LIMITED ,15/04/2013,2099.52,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EARLYWORLD LIMITED ,15/04/2013,8398.08,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY ,15/04/2013,14487.12,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HIGH ERCALL PRE-SCHOOL,15/04/2013,4103.57,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HALESFIELD DAY NURSERY CENTRE ,15/04/2013,3654.72,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HALESFIELD DAY NURSERY CENTRE ,15/04/2013,6454.08,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,762.48,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EDGMOND OWLS ,15/04/2013,2274.48,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EDGMOND OWLS ,15/04/2013,7733.23,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,1143.72,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,1143.72,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,B) WT'ON METHODIST CHURCH PLAYGR,15/04/2013,3020.54,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,B) WT'ON METHODIST CHURCH PLAYGR,15/04/2013,3259.01,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,DAISY CHAIN @ OLD HALL,15/04/2013,2592.43,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,DAISY CHAIN @ OLD HALL,15/04/2013,12771.54,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TOTS AND TODDLERS DAYCARE,15/04/2013,4782.24,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TOTS AND TODDLERS DAYCARE,15/04/2013,13948.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY,15/04/2013,1906.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LADYGROVE NURSERY,15/04/2013,1949.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LEEGOMERY UNDER 5'S PLAYGROUP,15/04/2013,8164.8,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TIBBERTON PLAYGROUP ,15/04/2013,3700.22,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TEAGUES BRIDGE PRE-SCHOOL ,15/04/2013,3110.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TORTOISE NURSERY SCHOOL ,15/04/2013,1568.16,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TORTOISE NURSERY SCHOOL,15/04/2013,6272.64,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TIGGYWINKLES MONTESSORI NURSERY,15/04/2013,2431.8,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TIGGYWINKLES MONTESSORI NURSERY,15/04/2013,6300,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,BEARS DEN PRE-SCHOOL ,15/04/2013,7464.96,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EARLYWORLD LIMITED ,15/04/2013,2913.84,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,EARLYWORLD LIMITED ,15/04/2013,11118.6,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PLAY-DAYS CORPORTION LTD,15/04/2013,4815.36,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABACUS DAY NURSERY ,15/04/2013,4253.04,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABACUSDAY NURSERY,15/04/2013,1949.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TRENCH TOTS NEIGHBOURHOOD NURSERY LTD,15/04/2013,2671.56,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TRENCH TOTS NEIGHBOURHOOD NURSERY LTD,15/04/2013,8614.15,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,RANDLAY ROUNDABOUTS ,15/04/2013,786.24,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,RANDLAY ROUNDABOUTS ,15/04/2013,1572.48,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,BUTTERFLIES DAY NURSERY ,15/04/2013,6448.46,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,Busy Bees Day Nursery Telford,15/04/2013,4064.04,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,Busy Bees Day Nursery Telford,15/04/2013,15259.32,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TIBBERTON PLAYGROUP ,15/04/2013,380.16,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LADYGROVE NURSERY,15/04/2013,4288.68,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY HOLLINSWOOD ,15/04/2013,2744.28,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY HOLLINSWOOD ,15/04/2013,5488.56,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LILLESHALL PRE-SCHOOL PLAYGROUP ,15/04/2013,1927.8,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LILLESHALL PRE-SCHOOL PLAYGROUP ,15/04/2013,5320.73,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY LTD ,15/04/2013,3518.64,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC DAY NURSERY LTd,15/04/2013,14074.56,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,THE LEARNING TREE PRE-SCHOOL ,15/04/2013,1605.75,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,THE LEARNING TREE PRE-SCHOOL ,15/04/2013,7875.79,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LONGFORD PLAYGROUP ,15/04/2013,1150.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LONGFORD PLAYGROUP ,15/04/2013,3450.6,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LITTLE CHICKS PRE-SCHOOL,15/04/2013,1803.6,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LITTLE CHICKS PRE-SCHOOL,15/04/2013,7898.04,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LITTLE BODIES DAY NURSERY,15/04/2013,1559.52,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LITTLE BODIES DAY NURSERY,15/04/2013,4834.51,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,BUTTERFLIES DAY NURSERY ,15/04/2013,1911.6,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PUDDLEDUCKS PLAYGROUP ,15/04/2013,2698.92,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PUDDLEDUCKS PLAYGROUP ,15/04/2013,12068.03,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CYGNETS PRE-SCHOOL ,15/04/2013,3479.76,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CYGNETS PRE-SCHOOL ,15/04/2013,9382.46,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,APPLE TREES NURSERY ,15/04/2013,1127.52,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,APPLE TREES NURSERY ,15/04/2013,200.45,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,TEAGUES BRIDGE PRE-SCHOOL ,15/04/2013,11897.28,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,ABC Day Nursery,15/04/2013,6959.52,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HADLEY UNDER 5'S ,16/04/2013,6627.96,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,LYNN MCCARTHY & CHARLOTTE ADDISON,15/04/2013,385.56,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,367.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PLAY-DAYS CORPORTION LTD,15/04/2013,304.13,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,HADLEY UNDER 5'S ,16/04/2013,15985.08,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CHIPMUNKS NURSERY,16/04/2013,6738.12,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,CHIPMUNKS NURSERY,16/04/2013,15220.22,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,NOAH'S ARK NURS & AFTER SCH CLUB,16/04/2013,7264.08,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,NOAH'S ARK NURS & AFTER SCH CLUb,16/04/2013,14897.74,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PRIORSLEE PRE-SCHOOL,15/04/2013,3823.2,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,PRIORSLEE PRE-SCHOOL,15/04/2013,5046.62,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,OUR WORLD NEIGHBOURHOOD NURSERY ,15/04/2013,2580.33,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,OUR WORLD NEIGHBOURHOOD NURSERY ,15/04/2013,4144.18,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,OAKENGATES UNITED PRE-SCHOOL,15/04/2013,389.88,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,734.4,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,756,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,773.28,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,762.48,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDHILL NURSERY,15/04/2013,14436.29,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,760.32,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,REDACTED PERSONAL INFORMATION,15/04/2013,1140.48,,,,,
Family & Cohesion Services,Early Intervention,GEAC,Third Party Payments,Pre School Playgroups,SMILEY FACES DAY NURSERIES LTD,15/04/2013,1963.2,,,,,
