Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING PRIORY,23/09/2014,3318.21
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,FOSTERING SOLUTIONS LTD,22/09/2014,3267.81
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Foundation Fostering,18/09/2014,3480
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,10/09/2014,3244.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,23/09/2014,5247.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,763.42
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,2958.64
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,2635
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3277.76
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3344.68
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3077.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3077.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3050.18
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3277.81
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3344.68
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3344.68
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,5247.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3050.18
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3244.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3244.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3244.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3210.71
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3344.68
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,08/09/2014,3344.68
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,HILLCREST CARE LTD,10/09/2014,227.14
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,INDEPENDENT CHILDCARE GROUP OF SCHOOLS L,10/09/2014,3361.64
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,INDEPENDENT CHILDCARE GROUP OF SCHOOLS L,29/09/2014,2494.12
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3299.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3311.73
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3175.64
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3233.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3380.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3233.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3449.99
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3077.99
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3233.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,3167.27
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,NATIONAL FOSTERING AGENCY,10/09/2014,425.72
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,18/09/2014,3348
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,18/09/2014,3348
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,18/09/2014,864
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,19/09/2014,3720
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,08/09/2014,3419.92
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,08/09/2014,1200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,08/09/2014,3720
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,08/09/2014,6200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PARK FOSTER CARE,08/09/2014,3720
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,18/09/2014,5689.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,18/09/2014,6321.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,18/09/2014,6321.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,18/09/2014,5689.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PHOENIX FOSTERING,18/09/2014,5878.84
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,PROGRESS CHILDREN'S SERVICES LTD,18/09/2014,3797.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,25/09/2014,3488.7
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,Prospects for Young People Ltd,25/09/2014,3258
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,RED KITE FOSTERING,22/09/2014,5247.86
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,REGIONAL FOSTER PLACEMENTS,15/09/2014,3449.99
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,05/09/2014,872.62
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,19/09/2014,872.62
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,SWIIS FOSTER CARE LTD,19/09/2014,872.62
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAD,Third Party Payments,External Foster Care Payments,THE ADOLESCENT & CHILDRENS TRUST,15/09/2014,3003.9
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Employees,Staff Training,BAAF REGISTERED CHARITY,05/09/2014,185
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Employees,Staff Training,BAAF REGISTERED CHARITY,24/09/2014,190
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Supplies & Services,Equipment - Purchase,PRISM MEDICAL WESTHOLME DIVISION,24/09/2014,200
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Third Party Payments,Childminders,D H Homecare Limited,24/09/2014,199.53
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Third Party Payments,Childminders,D H Homecare Limited,24/09/2014,443.4
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,11/09/2014,101.65
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAM,Third Party Payments,Interpreters Fees,VISS LTD,05/09/2014,125
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,ABC CARE LTD,23/09/2014,9513.46
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,30/09/2014,814.29
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,01/09/2014,17030
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,15/09/2014,8414.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,15/09/2014,8414.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,19/09/2014,2714.3
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,15/09/2014,8414.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,BETTERCARE KEYS LTD,15/09/2014,8414.33
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,CARE TODAY CHILDRENS SERVICES,10/09/2014,3489.67
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,HORIZON CARE & EDUCATION GROUP LTD,18/09/2014,12642.9
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,18/09/2014,10714.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,15/09/2014,500
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,15/09/2014,1000
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,KEYS CHILDCARE LTD,18/09/2014,11314.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,NEW HORIZONS CHILD CARE LTD,18/09/2014,10714.2
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,PRESTIGE ADOLESCENT CARE & EDUCATION,30/09/2014,11142.9
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,23/09/2014,10520
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,30/09/2014,17240
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,08/09/2014,10520
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Unity Residential Care Services Ltd,08/09/2014,10520
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Young Options Pathways Stoke,18/09/2014,16534.29
Children's Safeguarding & Specialist Services,Children in Care & Fostering,JPAN,Third Party Payments,Residential Expenditure,Young Options Pathways Stoke,30/09/2014,17066.3
Children's Safeguarding & Specialist Services,Children Specialist Services,GPAA,Supplies & Services,Other Services,GRANADA LEARNING LTD,03/09/2014,196
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,G & S SMIRTHWAITE LTD,01/09/2014,417
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,JCM SEATING SOLUTIONS,02/09/2014,1415.39
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,JCM SEATING SOLUTIONS,02/09/2014,569.63
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCARE,29/09/2014,131.94
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,D H Homecare Limited,26/09/2014,147.8
Children's Safeguarding & Specialist Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,D H Homecare Limited,15/09/2014,177.36
